,timepoint,centroid-0,centroid-1,centroid-2,size,min_intensity,max_intensity,mean_intensity,var_intensity,mean_background_intensity,SNR
0,0.0,89.0,99.0,0.0,8.485281374238571,0.0,0.5560493469238281,0.03175553541917067,0.009405816947785068,0.002455481167497306,12.932510271107795
1,0.0,0.0,91.0,45.0,8.485281374238571,0.0,0.6074142456054688,0.030143381754557292,0.00874585754425886,0.00028550527929290523,105.5790696032371
2,0.0,19.0,99.0,0.0,8.485281374238571,0.0,0.4886436462402344,0.027203897329477162,0.007169493025095759,0.007958905450228987,3.418045043956952
3,0.0,99.0,73.0,0.0,8.485281374238571,0.0,0.336700439453125,0.023419183147840264,0.0038941562196964877,0.007702042074764476,3.0406459638246535
4,0.0,0.0,40.0,50.0,8.485281374238571,0.0,0.4333038330078125,0.028535834418402777,0.005232968373602417,0.005522182188838361,5.167492386629412
5,0.0,0.0,17.0,0.0,8.485281374238571,0.0,0.3997917175292969,0.015319855745173683,0.003278218707754745,0.01233207478242762,1.2422772335927976
6,0.0,6.0,99.0,99.0,8.485281374238571,0.0,0.3917999267578125,0.022147604135366587,0.004392749692097074,0.0009036447810030531,24.509192772388467
7,0.0,99.0,68.0,89.0,8.485281374238571,0.0,0.3014640808105469,0.023103264702690973,0.0032025815219986304,0.010915728381080349,2.1165115048790177
8,0.0,29.0,0.0,22.0,8.485281374238571,0.0,0.3875579833984375,0.02004509917960679,0.0041339053787891,0.00107117821188534,18.71313191138025
9,0.0,99.0,78.0,90.0,8.485281374238571,0.0,0.4068107604980469,0.024445970323350694,0.0044343853119783744,0.017302741931175775,1.4128379432917726
10,0.0,99.0,53.0,0.0,8.485281374238571,0.0,0.196502685546875,0.014899671570328642,0.0010240971867234144,0.008639784420237821,1.7245420540155687
11,0.0,77.0,99.0,85.0,8.485281374238571,0.0,0.422576904296875,0.017325283082063533,0.003727037355757673,0.0019845552971026648,8.73005811798615
12,0.0,47.0,99.0,99.0,8.485281374238571,0.0,0.3805274963378906,0.017313619760366588,0.003638425372360472,0.001310216969457166,13.214315005811418
13,0.0,89.0,19.0,0.0,8.485281374238571,0.0,0.396881103515625,0.017114465886896305,0.003555435746232786,9.65567196116728e-05,177.2477975197008
14,0.0,20.0,99.0,99.0,8.485281374238571,0.0,0.3793296813964844,0.01724384014423077,0.003614593218693774,1.4469541352370689e-06,11917.337062937064
15,0.0,23.0,42.0,0.0,8.485281374238571,0.0,0.3698692321777344,0.01825660516407864,0.003723857509265198,0.0010187261244829964,17.921014024592598
16,0.0,84.0,41.0,0.0,8.485281374238571,0.0,0.3508491516113281,0.018247557080481664,0.0033133432857704996,0.0012569539687212776,14.517283476216111
17,0.0,73.0,99.0,99.0,8.485281374238571,0.0,0.2775230407714844,0.022933197021484376,0.0031159633319251807,0.003426782016096444,6.692341944647039
18,0.0,39.0,72.0,99.0,8.485281374238571,0.0,0.290008544921875,0.019057313272775697,0.0027358673225805403,0.0007188796997070312,26.50973908505446
19,0.0,27.0,0.0,37.0,8.485281374238571,0.0,0.3168296813964844,0.013558695138978564,0.0023368197373444593,0.0006724862491383272,20.16204072031457
20,0.0,0.0,99.0,77.0,8.485281374238571,0.0,0.2768669128417969,0.02319733170438404,0.002584881711200101,0.0061501222498276656,3.7718488774811036
21,0.0,68.0,15.0,0.0,8.485281374238571,0.0,0.3566398620605469,0.019029633072782152,0.003025345269799386,0.000914625065055436,20.80593873909278
22,0.0,6.0,0.0,54.0,8.485281374238571,0.0,0.3078269958496094,0.013126909240218233,0.0022411373363338725,6.395227768841911e-07,20526.10120342178
23,0.0,0.0,76.0,88.0,8.485281374238571,0.0,0.2572669982910156,0.014549916585286458,0.0015835310028658972,0.0013584915880133345,10.710347206907873
24,0.0,99.0,39.0,99.0,8.485281374238571,0.0,0.3152885437011719,0.012293192965925232,0.002211544959926511,0.003669940724092371,3.3496979624828995
26,0.0,0.0,0.0,48.0,8.485281374238571,0.0,0.21936798095703125,0.017620496513429753,0.002039581815970397,7.121142219094669e-05,247.4391884237624
27,0.0,99.0,88.0,83.0,8.485281374238571,0.0,0.25035858154296875,0.013700086805555555,0.0014340169415935687,0.00927485387778823,1.4771215790649854
28,0.0,85.0,99.0,51.0,8.485281374238571,0.0,0.2872734069824219,0.011283527721058239,0.0018637558899450401,0.0018006156472598804,6.26648320991165
29,0.0,75.0,45.0,99.0,8.485281374238571,0.0,0.227935791015625,0.018745485416128617,0.0018540893788101837,0.0006234449498793658,30.067587234054578
30,0.0,81.0,37.0,0.0,8.485281374238571,0.0,0.28896331787109375,0.01189312264938985,0.0018642865762702404,1.3104607077205882e-05,907.5527850107552
31,0.0,49.0,0.0,0.0,8.485281374238571,0.0,0.313018798828125,0.011174656794621395,0.0020227670090027794,0.001018633787659393,10.970239677890929
32,0.0,0.0,23.0,47.0,8.485281374238571,0.0,0.2880516052246094,0.016368289523654513,0.002037961662078368,0.004687539066176817,3.4918726633684534
33,0.0,81.0,2.0,0.0,8.485281374238571,0.0,0.26276397705078125,0.014412661632859564,0.002042431051369434,5.220112047697369e-07,27609.870250231696
34,0.0,99.0,76.0,99.0,8.485281374238571,0.0,0.384979248046875,0.02751014646419809,0.004748353466726427,0.02459730260512408,1.1184212718701605
35,0.0,0.0,52.0,37.0,8.485281374238571,0.0,0.2692375183105469,0.012746361626519096,0.0015518329779623237,0.007144451141357422,1.7840924900071933
36,0.0,57.0,94.0,0.0,8.485281374238571,0.0,0.27072906494140625,0.012604515507536114,0.0017625985114740235,0.003999657587173882,3.15139864671324
37,0.0,0.0,71.0,41.0,8.485281374238571,0.0,0.2554054260253906,0.018009372287326388,0.0019371873981411352,0.004472353372229151,4.026822298782261
38,0.0,10.0,0.0,14.0,8.485281374238571,0.0,0.21982192993164062,0.012478032387977789,0.0011738484535331404,0.0012451008053645035,10.021704535260374
39,0.0,10.0,32.0,0.0,8.485281374238571,0.0,0.204681396484375,0.010726109023921746,0.0011426176845539132,0.0005962259629193475,17.990006626686743
40,0.0,99.0,54.0,20.0,8.485281374238571,0.0,0.22687530517578125,0.011351996527777778,0.0009590784912675988,0.005253946924784097,2.1606606785896054
42,0.0,51.0,0.0,12.0,8.485281374238571,0.0,0.24686431884765625,0.010544863614169035,0.0013752247604699266,0.0011671222624231557,9.034926291506086
47,0.0,93.0,0.0,73.0,8.485281374238571,0.0,0.24534988403320312,0.011097837085566244,0.0012214168992706346,0.00019388759837431067,57.23850921161682
50,0.0,42.0,1.0,0.0,8.485281374238571,0.0,0.24617385864257812,0.014880051483979096,0.0019290817890166285,0.0014610080928592892,10.184783750826359
51,0.0,87.0,4.0,99.0,8.485281374238571,0.0,0.24546432495117188,0.011169048270793876,0.0014811573978416321,0.0,inf
52,0.0,46.0,53.0,0.0,8.485281374238571,0.0,0.21959686279296875,0.013003294132957774,0.0011192858295558945,0.00026264190673828123,49.50959385896998
57,0.0,86.0,55.0,0.0,8.485281374238571,0.0,0.21665191650390625,0.011708409333032025,0.001192717329840938,0.00350495506735409,3.3405305083898744
58,0.0,0.0,31.0,0.0,8.485281374238571,0.0,0.19562149047851562,0.011908097700639204,0.0009080128766373107,0.006463039622587316,1.8424918298539064
59,0.0,0.0,65.0,36.0,8.485281374238571,0.0,0.2554054260253906,0.01751254611545139,0.0019178250360084171,0.0074827010373035106,2.340404357750776
61,0.0,71.0,5.0,64.0,8.485281374238571,0.0,0.1709442138671875,0.011272777210582386,0.0009992153018349961,0.00033805526305581924,33.345959795694824
62,0.0,57.0,0.0,99.0,8.485281374238571,0.0,0.17790603637695312,0.012413494403545673,0.0010006622588206854,0.005756071244163075,2.1565915147651338
65,0.0,93.0,94.0,32.0,8.485281374238571,0.0,0.1724853515625,0.01095419219045928,0.0007289007651496464,0.00025402496908312645,43.122501815459955
71,0.0,0.0,82.0,8.0,8.485281374238571,0.0,0.17940902709960938,0.01224887424045139,0.0008119467897329157,0.0017353461040713924,7.058461831742741
73,0.0,63.0,0.0,99.0,8.485281374238571,0.0,0.17882156372070312,0.010489713228665865,0.0009288254838241208,9.120195761494254e-06,1150.1631656804732
76,0.0,0.0,59.0,15.0,8.485281374238571,0.0,0.1810302734375,0.01243104722764757,0.00102012321695191,0.002157307693458078,5.762296804180537
82,0.0,69.0,9.0,0.0,8.485281374238571,0.0,0.303741455078125,0.017567563648066244,0.0024204000054132064,0.0006360179973098467,27.62117380698571
87,0.0,29.0,0.0,2.0,8.485281374238571,0.0,0.17964935302734375,0.013076276664274284,0.0010027393577967825,7.4888530530427636e-06,1746.098711198682
95,0.0,36.0,0.0,41.0,8.485281374238571,0.0,0.17977142333984375,0.01030907749144499,0.0007704267654117022,8.257697610294117e-06,1248.4203197987786
107,0.0,0.0,20.0,55.0,8.485281374238571,0.0,0.20273208618164062,0.010218929714626736,0.0009430309609860688,0.0041714461452989696,2.4497331042240607
195,0.0,9.0,0.0,85.0,8.485281374238571,0.0,0.1119384765625,0.01049738482010266,0.0004337266647666977,0.000912040289194306,11.509781908183049
280,0.0,0.0,55.0,30.0,8.485281374238571,0.0,0.2692375183105469,0.012258995903862847,0.001493947034138312,0.008221970983298427,1.4910045205419682
289,0.0,0.0,38.0,59.0,8.485281374238571,0.0,0.23260116577148438,0.01275117662217882,0.0008147144272066883,0.010507422757435995,1.213539886662973
535,1.0,0.0,0.0,43.0,8.485281374238571,0.0,0.48377227783203125,0.04802798436692923,0.011227452418976894,0.012176861482508043,3.944200600123523
536,1.0,99.0,99.0,73.0,8.485281374238571,0.0,0.5828971862792969,0.0273590087890625,0.007606183527968824,0.00497738333309398,5.496665006119978
537,1.0,55.0,0.0,30.0,8.485281374238571,0.0,0.4982147216796875,0.028586300936612217,0.006866451972674131,0.001246037202722886,22.941771621380475
538,1.0,0.0,7.0,99.0,8.485281374238571,0.0,0.53948974609375,0.035880848512811175,0.008538068409762366,0.010213419168937105,3.5131083841088686
539,1.0,99.0,25.0,99.0,8.485281374238571,0.0,0.5122299194335938,0.029298892691115703,0.007535181778706876,0.011663313472972196,2.5120556657429343
540,1.0,52.0,99.0,10.0,8.485281374238571,0.0,0.4619407653808594,0.019569460025503617,0.004692309573798675,0.0008572267375112008,22.828802659982262
541,1.0,50.0,0.0,99.0,8.485281374238571,0.0,0.396392822265625,0.024369166447566107,0.005035258799938751,0.0012077682319728807,20.177022215395787
542,1.0,13.0,41.0,0.0,8.485281374238571,0.0,0.4327507019042969,0.019004758724496383,0.004328312006176608,0.00016442467184627757,115.58337633335307
543,1.0,99.0,99.0,99.0,8.485281374238571,0.0,0.31346893310546875,0.022124833327073316,0.0038877055739030553,0.00809222254259833,2.7340861191849104
544,1.0,0.0,99.0,39.0,8.485281374238571,0.0,0.3801155090332031,0.014433490343330321,0.0030595947846205397,1.0030409869025735e-05,1438.9731358736851
545,1.0,0.0,0.0,26.0,8.485281374238571,0.0,0.38182830810546875,0.018906490861876936,0.0035885308299343534,0.017328464283662685,1.0910655758284373
546,1.0,68.0,99.0,99.0,8.485281374238571,0.0,0.3807220458984375,0.017294957087590143,0.003640945653703901,0.003750483194986979,4.6113943693194415
547,1.0,70.0,48.0,99.0,8.485281374238571,0.0,0.3389701843261719,0.019672299219557078,0.0033438105708762664,5.6435080135569856e-06,3485.8281714670657
548,1.0,70.0,99.0,83.0,8.485281374238571,0.0,0.3450889587402344,0.012975771565082644,0.0023193624754066795,0.004003221848431756,3.2413321210678956
549,1.0,99.0,99.0,84.0,8.485281374238571,0.0,0.3824958801269531,0.015840230894482825,0.003064036079668956,0.013544642282817178,1.1694831479291148
550,1.0,0.0,70.0,4.0,8.485281374238571,0.0,0.36960601806640625,0.0226614049963049,0.004098413236156226,0.0017283944522633271,13.111246085423302
551,1.0,4.0,92.0,79.0,8.485281374238571,0.0,0.4029350280761719,0.018451742692427203,0.0034244019820576514,0.0019744807838374735,9.3451113039275
552,1.0,19.0,99.0,4.0,8.485281374238571,0.0,0.343109130859375,0.029068532616201074,0.004326746195517721,0.0006566047668457031,44.27097408361025
553,1.0,40.0,99.0,77.0,8.485281374238571,0.0,0.2823143005371094,0.012741498710695376,0.0018229399078956757,0.0007344750797047334,17.34776177269022
554,1.0,26.0,59.0,99.0,8.485281374238571,0.0,0.3377723693847656,0.017818892297665936,0.0022858167616030102,0.000591435151941636,30.128226635105957
555,1.0,83.0,0.0,86.0,8.485281374238571,0.0,0.31475067138671875,0.011274006741106018,0.0018945233804179102,1.4244755612143987e-05,791.4496428071159
556,1.0,78.0,44.0,99.0,8.485281374238571,0.0,0.29656219482421875,0.014955788604484117,0.002336171097494096,0.0013698577880859376,10.917767329250582
558,1.0,0.0,99.0,20.0,8.485281374238571,0.0,0.3146095275878906,0.012285847309207128,0.0022181449062464473,0.004300095053280101,2.857110635225497
561,1.0,32.0,99.0,99.0,8.485281374238571,0.0,0.3131866455078125,0.011152238112229568,0.002019051749475532,0.0003075873714753951,36.25713909753824
562,1.0,99.0,9.0,99.0,8.485281374238571,0.0,0.3152427673339844,0.012313653614895403,0.00222530465522351,0.01383196272940006,0.8902318388063998
563,1.0,76.0,90.0,99.0,8.485281374238571,0.0,0.2885780334472656,0.01462100951139592,0.0017312476217389912,0.0009080706902270048,16.101179862705266
564,1.0,36.0,40.0,0.0,8.485281374238571,0.0,0.3159637451171875,0.012788252397017046,0.002071405629615861,0.0007085687973920037,18.048003869329516
565,1.0,0.0,34.0,99.0,8.485281374238571,0.0,0.314971923828125,0.012317657470703125,0.002222478600442102,0.0011764077579273897,10.470568038759394
566,1.0,0.0,46.0,85.0,8.485281374238571,0.0,0.3117637634277344,0.013679436577690973,0.0019148422891435068,0.00494335138685651,2.767239370048052
568,1.0,0.0,0.0,89.0,8.485281374238571,0.0,0.31488800048828125,0.015262414601223528,0.002303125995054296,0.020311280390695005,0.7514255284573561
569,1.0,23.0,56.0,0.0,8.485281374238571,0.0,0.28802490234375,0.011236143506262914,0.0018522612580515049,0.00010543150060317095,106.57292594700085
570,1.0,39.0,99.0,54.0,8.485281374238571,0.0,0.2880096435546875,0.011393491886864024,0.0014909543895013986,0.001488517312442555,7.654255541151942
572,1.0,0.0,40.0,9.0,8.485281374238571,0.0,0.28778076171875,0.01614261203342014,0.0019966493809687688,0.003934175634109585,4.103175235356178
573,1.0,99.0,55.0,99.0,8.485281374238571,0.0,0.26239013671875,0.011617424074283317,0.0015458940732042108,0.007166840048397289,1.620996700893486
574,1.0,0.0,99.0,0.0,8.485281374238571,1.1444091796875e-05,0.26371002197265625,0.025766284649188703,0.0022592420614126123,0.00914836752003637,2.8164898920770804
575,1.0,0.0,35.0,46.0,8.485281374238571,0.0,0.2880897521972656,0.01528717041015625,0.0021411397905347655,0.0033406349549810572,4.576127178266605
